"date","temp","pressure","humidity"
"31.12.2019 23:00","-9.2","743.1","76"
"31.12.2019 20:00","-8.8","744.1","75"
"31.12.2019 17:00","-7.9","744.5","82"
"31.12.2019 14:00","-11.5","745.9","85"
"31.12.2019 11:00","-12.8","749.0","84"
"31.12.2019 08:00","-15.3","752.8","83"
"31.12.2019 05:00","-18.4","757.6","80"
"31.12.2019 02:00","-20.9","761.5","79"
"30.12.2019 23:00","-21.4","764.2","78"
"30.12.2019 20:00","-20.9","766.8","79"
"30.12.2019 17:00","-18.3","768.4","79"
"30.12.2019 14:00","-16.0","769.9","77"
"30.12.2019 11:00","-21.4","772.5","78"
"30.12.2019 08:00","-21.1","773.3","78"
"30.12.2019 05:00","-20.3","773.8","79"
"30.12.2019 02:00","-20.1","774.1","79"
"29.12.2019 23:00","-18.6","774.2","80"
"29.12.2019 20:00","-17.3","774.2","80"
"29.12.2019 17:00","-15.9","773.5","76"
"29.12.2019 14:00","-14.6","772.5","73"
"29.12.2019 11:00","-13.5","771.7","78"
"29.12.2019 08:00","-12.2","770.4","80"
"29.12.2019 05:00","-12.3","769.2","80"
"29.12.2019 02:00","-12.8","768.1","81"
"28.12.2019 23:00","-11.9","766.6","82"
"28.12.2019 20:00","-11.0","765.2","83"
"28.12.2019 17:00","-10.6","764.1","84"
"28.12.2019 14:00","-10.2","762.7","85"
"28.12.2019 11:00","-10.3","762.1","85"
"28.12.2019 08:00","-10.4","761.4","85"
"28.12.2019 05:00","-10.3","761.5","84"
"28.12.2019 02:00","-9.7","761.8","82"
"27.12.2019 23:00","-9.7","762.5","84"
"27.12.2019 20:00","-9.5","763.1","84"
"27.12.2019 17:00","-9.8","763.9","82"
"27.12.2019 14:00","-10.4","764.6","78"
"27.12.2019 11:00","-11.3","765.9","84"
"27.12.2019 08:00","-11.4","766.3","85"
"27.12.2019 05:00","-9.8","766.4","83"
"27.12.2019 02:00","-6.6","766.7","80"
"26.12.2019 23:00","-4.9","766.5","87"
"26.12.2019 20:00","-4.5","766.7","82"
"26.12.2019 17:00","-2.9","766.3","56"
"26.12.2019 14:00","-1.7","765.7","42"
"26.12.2019 11:00","-2.5","765.9","47"
"26.12.2019 08:00","-3.0","765.4","53"
"26.12.2019 05:00","-2.1","765.4","39"
"26.12.2019 02:00","-1.8","765.7","36"
"25.12.2019 23:00","-2.4","765.9","39"
"25.12.2019 20:00","-1.6","765.7","35"
"25.12.2019 17:00","-1.7","765.5","39"
"25.12.2019 14:00","-1.9","765.2","44"
"25.12.2019 11:00","-2.9","764.8","60"
"25.12.2019 08:00","-3.7","764.6","67"
"25.12.2019 05:00","-4.4","764.4","73"
"25.12.2019 02:00","-4.4","763.9","72"
"24.12.2019 23:00","-3.5","763.3","60"
"24.12.2019 20:00","-1.8","762.7","41"
"24.12.2019 17:00","-1.3","763.0","38"
"24.12.2019 14:00","-1.7","763.3","44"
"24.12.2019 11:00","-3.5","764.4","58"
"24.12.2019 08:00","-4.7","764.7","83"
"24.12.2019 05:00","-4.9","765.4","83"
"24.12.2019 02:00","-4.6","765.1","79"
"23.12.2019 23:00","-4.9","764.2","83"
"23.12.2019 20:00","-5.3","763.5","87"
"23.12.2019 17:00","-5.3","762.9","80"
"23.12.2019 14:00","-4.5","763.1","71"
"23.12.2019 11:00","-7.1","764.8","72"
"23.12.2019 08:00","-10.6","765.9","79"
"23.12.2019 05:00","-11.0","767.3","80"
